,a_count,abbr_count,acronym_count,address_count,applet_count,area_count,article_count,aside_count,audio_count,avg_height,avg_left,avg_top,avg_width,b_count,base_count,basefont_count,bdi_count,bdo_count,big_count,blockquote_count,body_count,br_count,button_count,canvas_count,caption_count,center_count,childs_count,cite_count,className,code_count,col_count,colgroup_count,data_count,datalist_count,dd_count,del_count,details_count,dfn_count,dialog_count,dir_count,div_count,dl_count,dt_count,em_count,embed_count,fieldset_count,figcaption_count,figure_count,font_count,footer_count,form_count,frame_count,frameset_count,h1_count,h2_count,h3_count,h4_count,h5_count,h6_count,head_count,header_count,height,hr_count,html_count,i_count,iframe_count,img_count,input_count,ins_count,kbd_count,label,label_count,left,legend_count,li_count,link_count,main_count,map_count,mark_count,meta_count,meter_count,nav_count,noframes_count,noscript_count,object_count,ol_count,optgroup_count,option_count,output_count,p_count,param_count,parent_landmark,picture_count,pre_count,progress_count,q_count,role,rp_count,rt_count,ruby_count,s_count,samp_count,script_count,sd_height,sd_left,sd_top,sd_width,section_count,select_count,small_count,source_count,span_count,strike_count,strong_count,style_count,sub_count,summary_count,sup_count,svg_count,table_count,tagName,tbody_count,td_count,template_count,textarea_count,tfoot_count,th_count,thead_count,time_count,title_count,top,tr_count,track_count,tt_count,u_count,ul_count,url,var_count,video_count,wbr_count,weighted_height,weighted_left,weighted_top,weighted_width,width,window_elements_count,window_height,word_count,xpath,screenshot,website_total_elements,class
772,0,0,0,0,0,0,0,0,0,-6.25,143.2109375,0.5,-980.75,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,2,0,0,False,1,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,banner,0,0,0,0,search,0,0,0,0,0,0,22.719760122,107.6969089925,789.1876583907,1065.621033717,0,0,0,0,0,0,0,0,0,0,0,1,0,FORM,0,0,0,0,0,0,0,0,0,789.1875,0,0,0,0,0,http://localhost:8080/207/index.html,0,0,0,11.8,127.096875,0.5,66.6,1064,1022,6892,1.25,/body[2]/div[3]/div[1]/header[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[3]/div[1]/div[1]/form[1],./2-output-urls-data/324-207.png,950,search
773,0,0,0,0,0,0,0,0,0,-30.0,111.0,5.3333333333,-368.0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,nav-search,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,1,0,0,False,0,195.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,banner,0,0,0,0,search,0,0,0,0,0,0,58.9406481132,361.8779720661,3.7712361663,629.9259215707,0,0,0,0,0,0,0,0,0,0,0,0,0,FORM,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,http://localhost:8080/298/index.html,0,0,0,12.6428571429,50.3928571429,3.5714285714000003,91.5714285714,574,1504,13614,1.0,/body[2]/header[71]/div[1]/form[4],./2-output-urls-data/327-298.png,1493,search
774,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,cs3bjhu dir dir-ltr,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,cs3bjhu dir dir-ltr littleSearchLabel null null,0,390.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,search,0,0,0,0,0,0,48.0,390.0,16.0,300.0,0,0,0,0,0,0,0,0,0,0,0,1,0,DIV,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,0,http://localhost:8080/208/index.html,0,0,0,12.1666666667,42.1276041667,3.2526041667,73.5833333333,300,1833,5188,2.0,/body[2]/div[7]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/header[2]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1],./2-output-urls-data/337-208.png,1629,search
775,0,0,0,0,0,0,0,0,0,-37.0,-13.0,-224.6640625,-241.0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,shared-autosuggest_component__root shared-autosuggest_component__compactLayoutStyle,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,2,0,0,False,0,26.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,section,0,0,0,0,search,0,0,0,0,0,0,82.7345151675,29.0688837075,502.3641158513,538.8923825774,0,0,0,0,2,0,0,0,0,0,0,1,0,FORM,0,0,0,0,0,0,0,0,0,449.328125,0,0,0,0,0,http://localhost:8080/403/index.html,0,0,0,15.6111111111,44.1635199653,-71.8282877604,88.5833333333,482,1882,11060,1.0,/body[2]/section[3]/section[1]/div[1]/div[1]/form[2],./2-output-urls-data/347-403.png,1836,search
776,0,0,0,0,0,0,0,0,0,-61.0,0.0,0.0,-1080.0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,search,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,1,0,0,False,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,search,0,0,0,0,0,0,61.0,0.0,475.625,1080.0,0,0,0,0,3,0,0,0,0,0,0,0,0,FORM,0,0,0,0,0,0,0,0,0,475.625,0,0,0,0,0,http://localhost:8080/170/index.html,0,0,0,6.1640625,0.015625,2.28125,55.828125,1080,826,10216,3.0,/body[2]/div[13]/div[1]/div[1]/div[1]/form[3],./2-output-urls-data/369-170.png,810,search
777,0,0,0,0,0,0,0,0,0,-32.0,1.0,1.0,-2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,0,top-search fl,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,3,0,0,False,0,314.0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,banner,0,0,0,0,search,0,0,0,0,0,0,32.0,314.0,19.0,485.0,0,0,0,0,0,0,0,0,0,0,0,0,0,DIV,0,0,0,0,0,0,0,0,0,19.0,0,0,0,0,3,http://localhost:8080/4/index.html,0,0,0,1.7608695652000002,-15.9701086957,-1.2649456522,37.8152173913,485,1688,4123,1.0,/body[2]/div[2]/div[2]/div[3],./2-output-urls-data/379-4.png,1664,search
778,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-23.0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,s-header-search__form ng-pristine ng-valid,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,3,0,0,False,0,1034.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nav,0,0,0,0,search,0,0,0,0,0,0,60.0,1034.0,0.0,51.4295634825,0,0,0,0,1,0,0,0,0,0,0,1,0,FORM,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,http://localhost:8080/387/index.html,0,0,0,19.0833333333,-113.7291666667,2.1041666667,7.1111111111,46,2010,1951,1.0,/body[2]/div[2]/header[7]/div[1]/nav[5]/ul[1]/li[1]/div[1]/form[1],./2-output-urls-data/380-387.png,1947,search
779,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,js-site-search-form,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,4,3,0,0,js-site-search-form null Site null,1,670.5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,banner,0,0,0,0,search,0,0,0,0,0,0,38.0,670.5,9.0,240.0,0,0,0,0,17,0,0,0,0,0,0,13,0,FORM,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,3,http://localhost:8080/71/index.html,0,0,0,0.6913580247000001,-33.3121914334,-0.3452932099,4.2654320988,240,1369,55935,4.2380952381,/body[2]/div[1]/header[3]/div[1]/div[2]/div[3]/div[1]/div[1]/div[1]/form[1],./2-output-urls-data/388-71.png,1285,search
780,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,42,0,i-unmask,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,2,0,0,False,2,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,main,0,0,0,0,search,0,0,0,0,0,0,44.0,90.0,273.0,900.0,0,0,0,0,8,0,0,0,0,0,0,2,0,DIV,0,0,0,0,0,0,0,0,0,273.0,0,0,0,0,0,http://localhost:8080/56/index.html,0,0,0,2.6127232143,7.8638647,-0.20675223210000002,42.6236514137,900,605,2347,1.1538461538,/body[2]/div[2]/div[2]/div[1]/span[1]/div[3]/div[2]/div[1]/div[1]/div[1],./2-output-urls-data/39-56.png,471,search
781,0,0,0,0,0,0,0,0,0,0.0,8.0,0.0,-15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,s-topbar--searchbar js-searchbar ,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,1,0,0,False,0,447.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,search,0,0,0,0,0,0,33.0,447.5625,10.203125,500.0,0,0,0,0,1,0,0,0,0,0,0,1,0,FORM,0,0,0,0,0,0,0,0,0,10.203125,0,0,0,0,0,http://localhost:8080/40/index.html,0,0,0,4.125,-70.1943117778,-1.1913010279,60.625,500,933,12112,1.0,/body[2]/header[3]/div[1]/form[6],./2-output-urls-data/396-40.png,907,search
782,0,0,0,0,0,0,0,0,0,-18.4,21.35,-55.8,-474.4,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,search2 mini-suggest mini-suggest_search_yes mini-suggest_personal_yes mini-suggest_theme_tile mini-suggest_request_xhr mini-suggest_separate-popup_yes mini-suggest_autofocus_yes mini-suggest_arrows_yes mini-suggest_overlay_tile mini-suggest_hide-on-scroll_yes mini-suggest_prevent-empty_yes mini-suggest_direct_yes mini-suggest_re-request_yes mini-suggest_favicon_yes search2_type_2021 search2_2021-2_yes mini-suggest_focused_yes i-bem search2_empty_yes search2_js_inited,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,1,0,0,3,0,0,search2 mini-suggest mini-suggest_search_yes mini-suggest_personal_yes mini-suggest_theme_tile mini-suggest_request_xhr mini-suggest_separate-popup_yes mini-suggest_autofocus_yes mini-suggest_arrows_yes mini-suggest_overlay_tile mini-suggest_hide-on-scroll_yes mini-suggest_prevent-empty_yes mini-suggest_direct_yes mini-suggest_re-request_yes mini-suggest_favicon_yes search2_type_2021 search2_2021-2_yes mini-suggest_focused_yes i-bem search2_empty_yes search2_js_inited null Поиск в интернете null,0,214.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,main,0,0,0,0,search,0,0,0,0,0,0,51.223432138,347.6349953615,154.7125075745,655.1569582932,0,0,0,0,4,0,0,0,0,0,0,0,0,FORM,0,0,0,0,0,0,0,0,0,139.0,0,0,0,0,0,http://localhost:8080/47/index.html,0,0,0,14.84375,58.1767578125,-16.7421875,83.6015625,624,963,1560,1.1,/body[2]/div[1]/div[2]/div[2]/div[1]/div[2]/dqs[1]/eflll[1]/dbgrsae[1]/div[1]/div[1]/div[1]/div[2]/form[1],./2-output-urls-data/400-47.png,917,search
783,0,0,0,0,0,0,0,0,0,1.0,8.0,0.0,-16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,s-topbar--searchbar js-searchbar ,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,1,0,0,False,0,324.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,search,0,0,0,0,0,0,32.0,324.09375,8.703125,679.0,0,0,0,0,1,0,0,0,0,0,0,1,0,FORM,0,0,0,0,0,0,0,0,0,8.703125,0,0,0,0,0,http://localhost:8080/113/index.html,0,0,0,4.125,-50.2153078715,-0.9491135279,82.875,679,989,3774,1.0,/body[2]/div[2]/header[2]/div[1]/form[3],./2-output-urls-data/402-113.png,973,search
